# pressure[bar] temperature[K]
9.951852165003621461e-06 5.416216216216216708e+02
1.240395246254950064e-05 5.654054054054056451e+02
1.930205904132706673e-05 5.805405405405406327e+02
3.450751338934311582e-05 5.891891891891892783e+02
7.484250182250561394e-05 6.086486486486487593e+02
1.337706476680088118e-04 6.216216216216216708e+02
2.982768234080371088e-04 6.410810810810812654e+02
8.064158665007650165e-04 6.821621621621623035e+02
2.239656649682003533e-03 7.383783783783783292e+02
4.461352104843695383e-03 7.967567567567568858e+02
1.077295734175747789e-02 8.810810810810812654e+02
2.144025901279602783e-02 9.567567567567566584e+02
5.167372656825413441e-02 1.077837837837837924e+03
1.149488930424114874e-01 1.142702702702702709e+03
2.287704259730625189e-01 1.218378378378378329e+03
3.852660236901349622e-01 1.311351351351351241e+03
7.227682712383828312e-01 1.458378378378378329e+03
9.477739350028375753e-01 1.570810810810810835e+03
1.276856270970673002e+00 1.696216216216215798e+03
1.672289595970128495e+00 1.832432432432432506e+03
2.075231569787549635e+00 1.940540540540540405e+03
2.643995658491856915e+00 2.074594594594594128e+03
3.110956194975034173e+00 2.141621621621621671e+03
3.652589593396255996e+00 2.249729729729729570e+03
